cluster index	number of spectra	parent mass	precursor charge	RTMean	origin	match_quality	flag_ion_mobility	flag_high_ppm	Compound_Name	MQScore	MZErrorPPM	Adduct	npclassifier_pathway	npclassifier_class	component	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_1A01	ATTRIBUTE_ORGANISM:GNPSGROUP:Vibrio_6D03	ATTRIBUTE_ORGANISM:GNPSGROUP:Phaeobacter_B2R04	ATTRIBUTE_ORGANISM:GNPSGROUP:Shewanella_B2R08	ATTRIBUTE_ORGANISM:GNPSGROUP:Roseovarius_B2R09	ATTRIBUTE_ORGANISM:GNPSGROUP:Colwellia_C2M19	ATTRIBUTE_ORGANISM:GNPSGROUP:Paracoccus_C2R07	ATTRIBUTE_ORGANISM:GNPSGROUP:Salipiger_C3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Acinetobacter_D3M06	ATTRIBUTE_ORGANISM:GNPSGROUP:Arenibacter_D3M17	ATTRIBUTE_ORGANISM:GNPSGROUP:Motilimonas_G1M02
219	40	235.1182144165037	1	156.54754999999997	isolate_only	VALID	False	False	Cyclo(-His-Pro)	0.897255	4.15348	M+H	Amino acids and Peptides	Dipeptides	-1	0	0	6	4	6	4	4	6	4	4	2
221	2	237.0879249572755	1	220.9345	isolate_only	UNANNOTATED	False	False							62	1	0	0	1	0	0	0	0	0	0	0
226	25	245.14966349283853	1	208.88336	isolate_only	FLAGGED	False	True	Spectral Match to Ile-Asn from NIST14	0.789162	4043.2	M+H			37	6	0	0	0	0	5	2	0	0	12	0
227	16	247.1279682431901	1	390.386375	isolate_only	UNANNOTATED	False	False							213	0	0	0	11	0	4	0	0	0	1	0
229	5	256.1742004394534	1	365.5144	isolate_only	UNANNOTATED	False	False							-1	0	0	0	2	0	2	1	0	0	0	0
231	4	260.123764038086	1	415.0557500000001	isolate_only	UNANNOTATED	False	False							11	0	0	0	0	2	0	0	2	0	0	0
233	35	261.1228884742373	1	458.6868857142857	isolate_only	VALID	False	False	cyclo(Phe-4-Hyp)	0.923645	5.14228	M+H			120	0	2	4	3	4	4	4	4	3	4	3
236	2	263.13856506347645	1	437.218	isolate_only	VALID	False	False	Spectral Match to Phe-Pro from NIST14	0.840977	2.7834	M+H			180	0	0	0	0	0	1	0	0	1	0	0
240	2	268.138824462891	1	198.251	isolate_only	FLAGGED	False	True	ReSpect:PS025606 Inosine|INO|(?)-Inosine|beta-Inosine|Hypoxanthine 9-beta-D-ribofuranoside|9-beta-D-ribofuranosylhypoxanthine|Hypoxanthine ribonucleoside|Oxiamin|Ribonosine|Trophicardyl	0.786058	4274.89	[M+H]	Carbohydrates	Purine nucleos(t)ides	100	0	0	0	2	0	0	0	0	0	0	0
241	3	268.139572143555	1	189.65833333333333	isolate_only	FLAGGED	False	True	Adenosine - 40.0 eV	0.741579	2274.81	Unknown	Carbohydrates	Purine nucleos(t)ides	100	0	0	0	0	0	0	0	0	0	0	3
243	6	270.14387003580737	1	194.335	isolate_only	UNANNOTATED	False	False							97	0	0	0	2	0	4	0	0	0	0	0
244	3	270.19151814778667	1	400.2776666666667	isolate_only	UNANNOTATED	False	False							164	0	0	0	1	0	1	0	0	0	1	0
245	3	273.187754313151	1	200.1283333333333	isolate_only	UNANNOTATED	False	False							-1	0	3	0	0	0	0	0	0	0	0	0
246	2	273.187754313151	1	200.9355	isolate_only	UNANNOTATED	False	False							-1	0	2	0	0	0	0	0	0	0	0	0
249	36	279.1331634521489	1	360.7748333333333	isolate_only	UNANNOTATED	False	False							180	0	0	0	0	0	6	0	0	0	30	0
250	2	279.133605957031	1	435.7705	isolate_only	UNANNOTATED	False	False							100	0	0	2	0	0	0	0	0	0	0	0
251	2	281.112335205078	1	436.8825	isolate_only	FLAGGED	False	True	o-acetyl threonine_p-Anisaldehyde (known isomers: 0; isobaric peaks in run: 5)	0.731902	3621.21	[M+H]+	Amino acids and Peptides	Aminoacids	213	0	0	0	2	0	0	0	0	0	0	0
252	3	282.118576049805	1	234.6013333333333	isolate_only	UNANNOTATED	False	False							102	0	0	0	0	0	0	0	0	0	3	0
253	3	282.118576049805	1	234.7923333333333	isolate_only	UNANNOTATED	False	False							102	0	0	0	0	0	0	0	0	0	3	0
254	12	282.1189041137696	1	262.04966666666667	isolate_only	FLAGGED	False	True	Guanosine - 40.0 eV	0.791142	6970.84	M+H	Carbohydrates	Purine nucleos(t)ides	-1	0	0	0	0	0	0	0	0	6	6	0
