podp_id,study_id,study_role,study_members,record_type,data_status,missing_files,file_genome,path_genome,status_genome,file_ms2_run,path_ms2_run,ms2_run_url,genome_label,genome_accession,genome_accession_type,biosample_accession,genome_publications,gnps_massive_id,gnps_task_id,sample_preparation_label,extraction_method_label,instrumentation_method_label,n_genomes_declared,metcalf_rankable
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D3_BD3_01_6328.mzXML,SC46_Healthy,SRR7448292,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D4_BD4_01_6329.mzXML,SC47_Healthy,SRR7448293,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D5_BD5_01_6330.mzXML,SC48_Healthy,SRR7448294,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D6_BD6_01_6331.mzXML,SC49_Healthy,SRR7448295,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D7_BD7_01_6332.mzXML,SC50_Healthy,SRR7448289,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D8_BD8_01_6333.mzXML,SC51_Healthy,SRR7448290,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D10_BD10_01_6335.mzXML,SC53_Healthy,SRR7448313,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D11_BD11_01_6336.mzXML,SC54_Healthy,SRR7448312,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_D12_BD12_01_6337.mzXML,SC55_Healthy,SRR7448306,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_E1_BE1_01_6339.mzXML,SC56_Healthy,SRR7448291,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
