#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
137	specs_ms.mgf	*..*		:500	4936	-1	0	161.103	1	0.716784	223.83	0	314096.0	20900.7	Spectral Match to 2-Propylbenzimidazole from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf137	-1	GNPS-NIST14-MATCHES.mgf	6379.59				7	0	1.02777	160.075	0	CCMSLIB00003139423
95	specs_ms.mgf	*..*		:6283	23341	-1	0	136.11	1	0.716005	198.705	0	15831.9	6293.0	2,4,6-trimethylaniline [CCS=136.0012664794922] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf95	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	6884.78				6	0	0.937088	137.047	0	CCMSLIB00017432757
97	specs_ms.mgf	*..*		:3706	54830	-1	0	137.046	1	0.71329	526.808	0	194.6	9163.6	HYPOXANTHINE M+H	MONA	temp/specs_ms.mgf97	-1	MONA.mgf	7360.4				6	0	1.00871	138.055	0	CCMSLIB00006683859
74	specs_ms.mgf	*..*		:43	43	-1	0	132.102	1	0.711356	196.597	0	15973800.0	25579.4	L-Alloisoleucine - 30.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf74	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	52.556				6	0	0.00694275	132.109	0	CCMSLIB00006112739
125	specs_ms.mgf	*..*		:17478	29477	-1	0	155.081	1	0.710186	203.759	0	267.0	70515.3	Massbank:PR300401 Cyclo-prolylglycine M+H	MASSBANK	temp/specs_ms.mgf125	-1	MASSBANK.mgf	0.688747				6	0	0.000106812	155.081	0	CCMSLIB00005743029
126	specs_ms.mgf	*..*		:17478	29477	-1	0	155.081	1	0.707388	202.504	0	267.0	25898.9	Massbank:PR300401 Cyclo-prolylglycine M+H	MASSBANK	temp/specs_ms.mgf126	-1	MASSBANK.mgf	12.8894				6	0	0.0019989	155.083	0	CCMSLIB00005743029
417	specs_ms.mgf	*..*		:1050	120	-1	0	480.279	1	0.706671	604.155	0	345724.0	8580.2	taurocholic acid M-2H2O+H	BILELIB19	temp/specs_ms.mgf417	-1	BILELIB19.mgf	2.98644				13	0	0.00143433	480.278	0	CCMSLIB00005435563
211	specs_ms.mgf	*..*		:71519	171958	-1	0	226.144	1	0.70663	451.078	0	233.34	23876.4	2-(Cyclopent-3-ene-1-carboxamido)-3,3-dimethylbutanoic acid [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf211	-1	MSNLIB-POSITIVE.mgf	4398.48				6	0	0.99469	227.139	0	CCMSLIB00012870537
325	specs_ms.mgf	*..*		:20284	20730	-1	0	373.139	1	0.703424	438.533	0	7622890.0	8020.6	3-(4-hydroxyphenyl)-2-{2-[(phenylmethoxy)carbonylamino]acetylamino}propanoic a cid CollisionEnergy:205060 M+H	BERKELEY-LAB	temp/specs_ms.mgf325	-1	BERKELEY-LAB.mgf	5126.19				6	0	1.91278	371.226	0	CCMSLIB00010122719
90	specs_ms.mgf	*..*		:6283	23341	-1	0	136.11	1	0.703418	199.362	0	15831.9	21919.6	2,4,6-trimethylaniline [CCS=136.0012664794922] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf90	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	355.938				7	0	0.0484467	136.062	0	CCMSLIB00017432757
442	specs_ms.mgf	*..*		:13407	13407	-1	0	500.304	1	0.703067	741.337	0	14295.2	11947.7	TAURODEOXYCHOLIC ACID [CCS=211.46849060058594] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf442	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	0.792975				16	0	0.000396729	500.304	0	CCMSLIB00016224890
