podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNB091,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNB091_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1/CNS615_A1_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNS615_A1_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNS615_A1_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNS615_MS_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNS615_MS_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNS615_MS_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNS615_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNS615_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNS615,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNS615_R5_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1/CNT302_A1_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1/CNT302_A1_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/A1//CNT302_A1_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNT302_MS_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNT302_MS_M.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/MS/CNT302_MS_E.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNT302_R5_B.mzXML,MSV000078839,True,unvalidated_pairs
0ff7a302-49af-4130-a440-59e284d4d365.4,Streptomyces sp. CNT302,genome,ftp://massive.ucsd.edu/MSV000078839/spectrum/R5/CNT302_R5_M.mzXML,MSV000078839,True,unvalidated_pairs
