CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
30	90	-15.977	0.000	0.8267	0.8110	1
30	92	-15.991	0.000	0.7008	0.8233	1
30	95	-16.963	0.000	0.7876	0.6958	1
30	98	-18.006	0.000	0.7837	0.7997	1
30	99	-18.006	0.000	0.8900	0.7908	1
30	111	-25.975	0.000	0.7705	0.8189	1
30	116	-28.975	0.000	0.7455	0.7586	1
30	141	-44.969	0.000	0.7416	0.7485	1
30	143	-46.002	0.000	0.7301	0.7443	1
30	147	-46.007	0.000	0.8326	0.8283	1
30	148	-46.002	0.000	0.8318	0.7593	1
30	149	-46.005	0.000	0.8217	0.7885	1
31	32	-0.003	0.000	0.9471	0.8862	1
31	33	-0.006	0.000	0.8065	0.8306	1
31	34	0.000	0.000	0.8410	0.8179	1
31	35	-0.002	0.000	0.8185	0.8597	1
31	36	-0.002	0.000	0.8659	0.7558	1
31	38	-0.984	0.000	0.9401	0.8495	1
31	39	-2.017	0.000	0.7426	0.6866	1
31	40	-2.017	0.000	0.7767	0.6138	1
31	44	-2.963	0.000	0.7709	0.5732	1
31	47	-6.969	0.000	0.7120	0.6749	1
31	68	-10.968	0.000	0.8236	0.6768	1
31	69	-10.968	0.000	0.9030	0.6690	1
31	89	-15.981	0.000	0.7426	0.7421	1
31	90	-15.981	0.000	0.8794	0.7438	1
31	91	-15.981	0.000	0.7041	0.7039	1
31	92	-15.995	0.000	0.7306	0.8057	1
31	95	-16.967	0.000	0.8451	0.6454	1
31	98	-18.010	0.000	0.8225	0.7751	1
31	99	-18.010	0.000	0.9178	0.7533	1
31	110	-24.995	0.000	0.7393	0.6476	1
31	111	-25.979	0.000	0.7897	0.7553	1
31	116	-28.979	0.000	0.7809	0.7153	1
31	141	-44.974	0.000	0.7875	0.6921	1
31	143	-46.006	0.000	0.7643	0.8305	1
31	147	-46.011	0.000	0.7802	0.8477	1
31	148	-46.006	0.000	0.8162	0.8221	1
31	149	-46.009	0.000	0.8055	0.8426	1
31	163	-60.024	0.000	0.7002	0.6034	1
32	33	-0.003	0.000	0.8274	0.8238	1
32	34	0.003	0.000	0.8350	0.7784	1
32	35	0.001	0.000	0.8353	0.8333	1
32	36	0.002	0.000	0.8230	0.7674	1
32	38	-0.981	0.000	0.9074	0.8543	1
32	44	-2.960	0.000	0.7356	0.5694	1
32	68	-10.965	0.000	0.8095	0.6977	1
32	69	-10.965	0.000	0.8730	0.6869	1
32	90	-15.978	0.000	0.8536	0.7653	1
32	92	-15.992	0.000	0.7271	0.8516	1
32	95	-16.963	0.000	0.8081	0.6572	1
32	98	-18.007	0.000	0.8227	0.7731	1
32	99	-18.007	0.000	0.9070	0.7654	1
32	110	-24.992	0.000	0.7246	0.6612	1
32	111	-25.976	0.000	0.7883	0.7934	1
32	116	-28.975	0.000	0.7627	0.7332	1
32	141	-44.970	0.000	0.7581	0.7192	1
32	143	-46.003	0.000	0.7579	0.8296	1
32	147	-46.008	0.000	0.8183	0.8589	1
32	148	-46.003	0.000	0.8214	0.7945	1
32	149	-46.006	0.000	0.8130	0.8285	1
33	34	0.006	0.000	0.9513	0.8447	1
33	35	0.004	0.000	0.9864	0.8955	1
33	38	-0.978	0.000	0.8576	0.8238	1
33	68	-10.962	0.000	0.7681	0.6240	1
33	69	-10.962	0.000	0.7288	0.6406	1
33	89	-15.975	0.000	0.7620	0.7865	1
33	90	-15.975	0.000	0.7539	0.7403	1
33	91	-15.975	0.000	0.7937	0.6969	1
33	95	-16.961	0.000	0.7041	0.6292	1
33	98	-18.004	0.000	0.8003	0.7686	1
33	99	-18.005	0.000	0.7625	0.6646	1
33	110	-24.990	0.000	0.7834	0.6589	1
33	111	-25.973	0.000	0.7418	0.7786	1
33	143	-46.000	0.000	0.8522	0.7565	1
33	144	-46.005	0.000	0.8283	0.7867	1
33	145	-46.000	0.000	0.8171	0.8077	1
33	146	-46.003	0.000	0.8154	0.7929	1
33	147	-46.005	0.000	0.9569	0.9007	1
33	148	-46.000	0.000	0.9620	0.8283	1
33	149	-46.003	0.000	0.9657	0.8560	1
33	205	-103.021	0.000	0.7342	0.5204	1
34	35	-0.002	0.000	0.9610	0.8655	1
34	36	-0.002	0.000	0.8001	0.7018	1
34	38	-0.984	0.000	0.8735	0.8075	1
34	39	-2.017	0.000	0.7790	0.6592	1
