CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
126	129	22	0.8427	0.002
102	127	22	0.847	-13.123
124	127	22	0.8555	-2.039
126	127	22	0.8705	0.002
127	128	22	0.9432	-0.002
100	102	22	0.8547	0.000
100	103	22	0.8814	0.000
100	105	22	0.8729	0.000
100	107	22	0.9017	0.000
102	105	22	0.8541	0.000
103	105	22	0.9005	0.000
105	107	22	0.8612	0.000
101	103	22	0.8452	0.000
102	103	22	0.8847	0.000
103	107	22	0.8814	0.000
101	104	22	0.8829	0.000
104	106	22	0.9008	-0.000
123	126	22	0.8779	-3.027
124	126	22	0.9208	-2.041
126	128	22	0.8688	0.000
123	124	22	0.9218	-0.986
124	128	22	0.8633	-2.041
101	102	22	0.8572	0.000
102	107	22	0.8454	0.000
101	106	22	0.9172	0.000
101	107	22	0.8509	0.000
106	107	22	0.8517	0.000
265	296	24	0.8041	-42.049
265	279	24	0.7727	-16.067
267	279	24	0.767	-16.067
261	267	24	0.7553	-0.000
552	616	26	0.8357	-154.064
615	616	26	0.8281	0.000
319	344	27	0.8929	-44.026
319	365	27	0.8954	-71.920
319	475	27	0.8912	-171.089
319	576	27	0.8925	-308.183
389	578	27	0.9	-223.963
523	578	27	0.8824	-86.037
536	578	27	0.8772	-68.028
432	475	27	0.8986	-39.011
475	483	27	0.8975	-5.016
475	554	27	0.8784	-93.067
475	576	27	0.8874	-137.093
432	554	27	0.9127	-132.078
483	554	27	0.8998	-88.051
520	554	27	0.8852	-44.026
554	576	27	0.8941	-44.026
344	483	27	0.9082	-132.079
365	483	27	0.9099	-104.185
389	483	27	0.9291	-88.046
432	483	27	0.9357	-44.027
455	483	27	0.895	-17.037
483	520	27	0.9094	-44.025
483	523	27	0.8888	-49.880
483	576	27	0.9217	-132.078
344	455	27	0.896	-115.042
365	455	27	0.9002	-87.148
389	455	27	0.9007	-71.009
425	455	27	0.8917	-35.069
455	482	27	0.8927	-15.995
455	520	27	0.8743	-61.062
416	425	27	0.8758	-5.958
416	482	27	0.9098	-57.022
344	523	27	0.9014	-181.959
365	523	27	0.9142	-154.065
389	523	27	0.9044	-137.926
425	523	27	0.8819	-101.985
432	523	27	0.901	-93.906
482	523	27	0.8921	-50.921
520	523	27	0.8897	-5.854
523	576	27	0.8919	-82.198
344	432	27	0.9155	-88.052
365	432	27	0.9172	-60.158
389	432	27	0.9316	-44.019
432	482	27	0.9038	-42.985
432	520	27	0.9115	-88.052
432	576	27	0.9248	-176.104
344	520	27	0.9153	-176.104
365	520	27	0.9084	-148.210
389	520	27	0.9121	-132.071
520	576	27	0.911	-88.052
344	482	27	0.9094	-131.037
365	482	27	0.9013	-103.143
389	482	27	0.9283	-87.004
425	482	27	0.8997	-51.064
344	576	27	0.9132	-264.157
365	576	27	0.9137	-236.262
389	576	27	0.9231	-220.123
344	389	27	0.9256	-44.033
365	389	27	0.9263	-16.139
344	365	27	0.9252	-27.894
191	198	30	0.8509	-15.977
191	223	30	0.9203	-41.026
152	182	31	0.905	-18.010
152	183	31	0.8551	-18.010
157	158	31	0.8306	0.000
157	182	31	0.928	-14.016
131	132	31	0.8175	-0.995
131	158	31	0.8716	-18.011
153	183	31	0.8817	-18.010
158	183	31	0.8519	-14.016
182	183	31	0.8304	0.000
158	182	31	0.8115	-14.016
649	653	34	0.8022	-15.994
649	654	34	0.802	-15.995
649	657	34	0.8362	-28.031
623	657	34	0.7831	-128.058
651	657	34	0.8155	-28.030
654	657	34	0.7843	-12.036
651	653	34	0.7906	-15.994
651	654	34	0.803	-15.995
187	226	37	0.8436	-56.026
187	318	37	0.845	-170.069
318	360	37	0.8753	-71.037
360	428	37	0.9243	-58.012
542	601	38	0.8279	-131.050
544	601	38	0.8928	-129.043
542	544	38	0.8826	-2.008
469	490	41	0.838	-15.958
469	539	41	0.8076	-85.053
469	568	41	0.7942	-128.058
539	586	41	0.7906	-71.037
568	586	41	0.7963	-28.032
539	568	41	0.8246	-43.005
56	193	45	0.8789	-74.087
399	400	46	0.7087	0.000
555	563	47	0.8595	-26.006
137	155	48	0.7682	-13.979
155	156	48	0.7693	-0.000
557	608	50	0.8254	-129.043
685	694	51	0.7251	-129.037
415	457	53	0.7017	-44.027
247	300	58	0.7439	-57.021
402	403	59	0.86	-2.015
659	675	60	0.8652	-128.058
671	675	60	0.8918	-57.020
659	668	60	0.8372	-55.043
668	689	60	0.8589	-186.064
632	659	60	0.8294	-101.034
659	671	60	0.8938	-71.038
632	661	60	0.8854	-101.048
650	661	60	0.8277	-30.061
221	222	62	0.7025	0.001
117	118	63	0.8233	-0.002
575	577	65	0.831	-1.997
355	359	67	0.8379	-2.016
359	497	67	0.8328	-129.042
690	692	72	0.8808	-15.979
282	283	78	0.9254	-1.004
282	301	78	0.9325	-28.032
282	302	78	0.9314	-28.037
282	303	78	0.8889	-29.036
282	320	78	0.9278	-56.063
283	320	78	0.9126	-55.059
301	320	78	0.9364	-28.031
302	320	78	0.922	-28.026
303	320	78	0.9319	-27.027
283	301	78	0.9049	-27.027
283	302	78	0.9031	-27.033
283	303	78	0.9516	-28.031
301	303	78	0.8919	-1.004
302	303	78	0.8879	-0.999
301	302	78	0.9381	-0.006
631	660	80	0.8424	-101.048
625	660	80	0.8328	-128.071
641	660	80	0.8027	-57.035
625	641	80	0.8278	-71.037
325	414	82	0.7556	-105.081
332	414	82	0.7744	-88.053
367	414	82	0.8242	-44.027
414	456	82	0.7996	-44.026
414	500	82	0.7983	-85.987
414	501	82	0.796	-88.052
414	537	82	0.7951	-132.077
414	565	82	0.8018	-176.103
414	588	82	0.7714	-220.128
414	619	82	0.7531	-308.180
598	630	82	0.7691	-88.051
275	307	82	0.7599	-44.022
275	325	82	0.7354	-71.021
332	456	82	0.8078	-132.080
367	456	82	0.8593	-88.054
456	500	82	0.7809	-41.961
456	501	82	0.8367	-44.026
456	537	82	0.8685	-88.050
456	565	82	0.8465	-132.076
456	588	82	0.8114	-176.102
456	598	82	0.7816	-220.129
456	619	82	0.7937	-264.154
332	537	82	0.796	-220.130
367	537	82	0.876	-176.104
500	537	82	0.8052	-46.089
501	537	82	0.8728	-44.025
537	565	82	0.8906	-44.026
537	588	82	0.8665	-88.052
537	598	82	0.8236	-132.078
537	619	82	0.8387	-176.103
500	598	82	0.7614	-178.168
501	598	82	0.785	-176.103
565	598	82	0.831	-88.052
588	598	82	0.8035	-44.027
598	619	82	0.7768	-44.025
293	325	82	0.7329	-44.026
307	325	82	0.768	-26.999
325	332	82	0.7898	-17.027
619	640	82	0.7496	-88.052
293	307	82	0.7837	-17.027
293	332	82	0.7843	-61.053
293	367	82	0.807	-105.079
332	565	82	0.7953	-264.156
367	565	82	0.8667	-220.130
500	565	82	0.8262	-90.115
501	565	82	0.8399	-88.051
