USI1,USI2,SMILES1,SpectrumID,Compound_Name,CLUSTERID1,CLUSTERID2
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012338206,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:301,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012338206,Cetalkonium,320,301
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012338206,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:302,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012338206,Cetalkonium,320,302
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012338206,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:303,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCMSLIB00012338206,Cetalkonium,320,303
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010115561,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:301,COc1cccc(-c2oc3ccccc3c(=O)c2OC)c1,CCMSLIB00010115561,"""3,3'-Dimethoxyflavone CollisionEnergy:205060""",283,301
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010115561,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:302,COc1cccc(-c2oc3ccccc3c(=O)c2OC)c1,CCMSLIB00010115561,"""3,3'-Dimethoxyflavone CollisionEnergy:205060""",283,302
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010115561,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:303,COc1cccc(-c2oc3ccccc3c(=O)c2OC)c1,CCMSLIB00010115561,"""3,3'-Dimethoxyflavone CollisionEnergy:205060""",283,303
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010122719,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:414,O=C(O)C(Cc1ccc(O)cc1)N=C(O)CN=C(O)OCc1ccccc1,CCMSLIB00010122719,3-(4-hydroxyphenyl)-2-{2-[(phenylmethoxy)carbonylamino]acetylamino}propanoic a cid CollisionEnergy:205060,325,414
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004721221,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:414,Br.COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,CCMSLIB00004721221,GALANTHAMINE HYDROBROMIDE,332,414
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004708389,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:414,O=C(O)c1cccc(C(=O)CCC2OC(n3cnc4c(O)ncnc43)C(O)C2O)c1,CCMSLIB00004708389,"3-[3-[3,4-dihydroxy-5-(6-oxo-3H-purin-9-yl)oxolan-2-yl]propanoyl]benzoic acid",367,414
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004698561,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:414,O=C1CCC(O)=NCCCCCN=C(O)CCC(O)=NCCCCCN(O)C(=O)CCC(O)=NCCCCCN1O,CCMSLIB00004698561,dehydroxynocardamine,537,414
